iter	Passed	Remaining
0	23	448
1	45	406
2	61	350
3	86	347
4	105	316
5	131	306
6	157	292
7	172	258
8	197	241
9	208	208
10	235	192
11	255	170
12	276	148
13	296	127
14	317	105
15	338	84
16	347	61
17	369	41
18	390	20
19	410	0
