126
gene-ECs_R0001	rrsH	MissingGeneType
gene-ECs_R0024	ileV	MissingGeneType
gene-ECs_R0025	alaV	MissingGeneType
gene-ECs_R0002	rrlH	MissingGeneType
gene-ECs_R0003	rrfH	MissingGeneType
gene-ECs_R0026	aspU	MissingGeneType
gene-ECs_R0027	aspV	MissingGeneType
gene-ECs_R0028	thrW	MissingGeneType
gene-ECs_R0030	argU	MissingGeneType
gene-ECs_R0031	glnX	MissingGeneType
gene-ECs_R0032	glnV	MissingGeneType
gene-ECs_R0033	metU	MissingGeneType
gene-ECs_R0034	glnW	MissingGeneType
gene-ECs_R0035	glnU	MissingGeneType
gene-ECs_R0036	leuW	MissingGeneType
gene-ECs_R0037	metT	MissingGeneType
gene-ECs_R0038	lysT	MissingGeneType
gene-ECs_R0039	valT	MissingGeneType
gene-ECs_R0040	lysW	MissingGeneType
gene-ECs_R0041	valZ	MissingGeneType
gene-ECs_R0042	lysY	MissingGeneType
gene-ECs_R0043	lysZ	MissingGeneType
gene-ECs_R0044	serW	MissingGeneType
gene-ECs_R0045	ileZ1	MissingGeneType
gene-ECs_R0046	argN1	MissingGeneType
gene-ECs_R0047	argO1	MissingGeneType
gene-ECs_R0048	serT	MissingGeneType
gene-ECs_R0049	ileZ2	MissingGeneType
gene-ECs_R0050	argN2	MissingGeneType
gene-ECs_R0051	argO2	MissingGeneType
gene-ECs_R0052	serX	MissingGeneType
gene-ECs_R0053	tyrV	MissingGeneType
gene-ECs_R0054	tyrT	MissingGeneType
gene-ECs_R0055	ileZ3	MissingGeneType
gene-ECs_R0056	argO3	MissingGeneType
gene-ECs_R0057	ileZ4	MissingGeneType
gene-ECs_R0058	argO4	MissingGeneType
gene-ECs_R0059	argO5	MissingGeneType
gene-ECs_R0060	ileZ5	MissingGeneType
gene-ECs_R0061	argO6	MissingGeneType
gene-ECs_R0062	argN4	MissingGeneType
gene-ECs_R0063	ileZ6	MissingGeneType
gene-ECs_R0064	valV	MissingGeneType
gene-ECs_R0065	valW	MissingGeneType
gene-ECs_R0066	leuZ	MissingGeneType
gene-ECs_R0067	cysT	MissingGeneType
gene-ECs_R0068	glyW	MissingGeneType
gene-ECs_R0069	argO7	MissingGeneType
gene-ECs_R0070	argN5	MissingGeneType
gene-ECs_R0071	ileZ7	MissingGeneType
gene-ECs_R0072	serU	MissingGeneType
gene-ECs_R0073	asnT	MissingGeneType
gene-ECs_R0074	asnW	MissingGeneType
gene-ECs_R0075	asnU	MissingGeneType
gene-ECs_R0076	asnV	MissingGeneType
gene-ECs_R0077	proL	MissingGeneType
gene-ECs_R0078	argW	MissingGeneType
gene-ECs_R0079	alaX	MissingGeneType
gene-ECs_R0080	alaW	MissingGeneType
gene-ECs_R0081	valU	MissingGeneType
gene-ECs_R0082	valX	MissingGeneType
gene-ECs_R0083	valY	MissingGeneType
gene-ECs_R0084	lysV	MissingGeneType
gene-ECs_R0004	rrfG	MissingGeneType
gene-ECs_R0005	rrlG	MissingGeneType
gene-ECs_R0085	gltW	MissingGeneType
gene-ECs_R0006	rrsG	MissingGeneType
gene-ECs_R0023	ssrA	MissingGeneType
gene-ECs_R0086	ileY	MissingGeneType
gene-ECs_R0087	argQ	MissingGeneType
gene-ECs_R0088	argZ	MissingGeneType
gene-ECs_R0089	argY	MissingGeneType
gene-ECs_R0090	argV	MissingGeneType
gene-ECs_R0091	serV	MissingGeneType
gene-ECs_R0092	metZ	MissingGeneType
gene-ECs_R0093	metW	MissingGeneType
gene-ECs_R0094	metV	MissingGeneType
gene-ECs_R0095	glyU	MissingGeneType
gene-ECs_R0096	pheV	MissingGeneType
gene-ECs_R0097	ileX	MissingGeneType
gene-ECs_R0098	metY	MissingGeneType
gene-ECs_R0099	leuU	MissingGeneType
gene-ECs_R0007	rrfF	MissingGeneType
gene-ECs_R0100	thrV	MissingGeneType
gene-ECs_R0008	rrfD	MissingGeneType
gene-ECs_R0009	rrlD	MissingGeneType
gene-ECs_R0101	alaU	MissingGeneType
gene-ECs_R0102	ileU	MissingGeneType
gene-ECs_R0010	rrsD	MissingGeneType
gene-ECs_R0103	proK	MissingGeneType
gene-ECs_R0104	selC	MissingGeneType
gene-ECs_R0011	rrsC	MissingGeneType
gene-ECs_R0105	gltU	MissingGeneType
gene-ECs_R0012	rrlC	MissingGeneType
gene-ECs_R0013	rrfC	MissingGeneType
gene-ECs_R0106	aspT	MissingGeneType
gene-ECs_R0107	trpT	MissingGeneType
gene-ECs_R0108	argX	MissingGeneType
gene-ECs_R0109	hisR	MissingGeneType
gene-ECs_R0110	leuT1	MissingGeneType
gene-ECs_R0111	tRNA51	MissingGeneType
gene-ECs_R0112	leuT2	MissingGeneType
gene-ECs_R0113	proM2	MissingGeneType
